City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Amapa,BR,1.0,-52.0,70.48,99,16,1.54,few clouds
258,Pisco,PE,-13.7,-76.2167,66.25,77,100,5.75,overcast clouds
259,Russell,US,32.3502,-85.1999,51.96,66,100,4.61,overcast clouds
260,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,19.57,few clouds
261,Damghan,IR,36.1683,54.348,49.59,45,0,1.3,clear sky
262,Stirion,GR,38.4,22.7167,50.7,86,34,3.36,scattered clouds
263,Whitehorse,CA,60.7161,-135.0538,38.17,70,75,5.75,broken clouds
264,Rudnyy,KZ,52.9594,63.1206,21.43,86,100,13.42,overcast clouds
265,Leh,IN,34.1667,77.5833,22.28,68,67,1.92,broken clouds
266,Nemuro,JP,43.3236,145.575,44.69,63,97,6.53,overcast clouds
267,Inuvik,CA,68.3499,-133.7218,11.26,85,100,16.11,light snow
268,Makasar,ID,-5.14,119.4221,86.05,74,40,11.5,scattered clouds
269,Aykhal,RU,66.0,111.5,-16.67,95,60,6.26,broken clouds
270,Alice Springs,AU,-23.7,133.8833,88.21,40,14,14.97,few clouds
271,San Andres,CO,12.5847,-81.7006,83.84,75,100,19.46,light rain
272,Zhigansk,RU,66.7697,123.3711,-29.43,99,45,2.21,scattered clouds
273,Kavaratti,IN,10.5669,72.642,80.56,77,100,6.15,light rain
274,Douentza,ML,14.9951,-2.9517,76.14,22,72,6.58,broken clouds
275,Yerbogachen,RU,61.2767,108.0108,-8.07,86,9,5.84,clear sky
276,Half Moon Bay,US,37.4636,-122.4286,56.01,70,1,4.72,clear sky
277,Dapa,PH,9.7594,126.0531,84.76,70,97,3.62,overcast clouds
278,Qui Nhon,VN,13.7667,109.2333,80.49,84,67,11.12,broken clouds
279,Ginir,ET,7.1333,40.7,61.34,43,0,2.66,clear sky
280,Messina,IT,38.1933,15.5497,64.2,83,56,6.91,broken clouds
281,Lorengau,PG,-2.0226,147.2712,84.96,68,83,1.9,broken clouds
282,Port Hardy,CA,50.6996,-127.4199,39.38,100,100,3.44,mist
283,Cidreira,BR,-30.1811,-50.2056,64.04,74,1,11.81,clear sky
284,Great Falls,US,47.5002,-111.3008,27.68,97,48,4.59,scattered clouds
285,Neuquen,AR,-38.9516,-68.0591,66.09,48,0,8.05,clear sky
286,Masallatah,LY,32.6167,14.0,62.38,62,0,6.55,clear sky
287,Xining,CN,36.6167,101.7667,39.27,45,89,3.33,overcast clouds
288,Urucui,BR,-7.2294,-44.5561,76.84,73,47,2.73,scattered clouds
289,Aswan,EG,24.0934,32.907,65.5,52,0,0.0,clear sky
290,Phibun Mangsahan,TH,15.2447,105.2291,87.78,53,19,2.98,few clouds
291,Torbay,CA,47.6666,-52.7314,43.57,84,75,33.38,broken clouds
292,Buguruslan,RU,53.6554,52.442,23.76,73,100,16.58,overcast clouds
293,Skibbereen,IE,51.55,-9.2667,48.02,66,47,11.45,scattered clouds
294,Altamira,BR,-3.2033,-52.2064,74.39,91,56,4.16,broken clouds
295,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.38,78,49,7.23,scattered clouds
296,Port Keats,AU,-14.25,129.55,89.13,66,97,9.93,overcast clouds
297,Usinsk,RU,65.9939,57.5281,-3.69,92,90,8.81,overcast clouds
298,Pevek,RU,69.7008,170.3133,-12.01,100,100,2.42,overcast clouds
299,Geraldton,AU,-28.7667,114.6,91.81,11,0,9.22,clear sky
300,Itacare,BR,-14.2775,-38.9967,74.39,91,31,5.03,scattered clouds
301,Udachnyy,RU,66.4167,112.4,-21.08,99,86,4.63,overcast clouds
302,Panaba,MX,21.2833,-88.2667,70.11,95,29,7.29,scattered clouds
303,Itum-Kale,RU,42.7356,45.5758,40.68,84,83,0.69,broken clouds
304,Rawson,AR,-43.3002,-65.1023,64.65,48,20,10.0,few clouds
305,Ilulissat,GL,69.2167,-51.1,22.8,93,100,20.76,light snow
306,Harper,LR,4.375,-7.7169,77.04,84,92,5.35,overcast clouds
307,Kattivakkam,IN,13.2167,80.3167,84.29,68,93,13.35,overcast clouds
308,Pankrushikha,RU,53.8319,80.3406,38.1,89,100,17.13,overcast clouds
309,Castro,BR,-24.7911,-50.0119,58.57,97,81,3.91,broken clouds
310,Montepuez,MZ,-13.1256,38.9997,77.67,56,69,4.0,broken clouds
311,Le Port,RE,-20.9373,55.2919,78.76,51,35,2.01,scattered clouds
312,Nanma,CN,36.1817,118.1583,56.5,34,0,9.1,clear sky
313,Waddan,LY,29.1614,16.139,58.78,50,1,2.17,clear sky
314,Grootfontein,NA,-19.5667,18.1167,63.97,55,44,2.3,scattered clouds
315,Araouane,ML,18.9048,-3.5265,77.4,17,100,11.32,overcast clouds
316,Nizhniy Baskunchak,RU,48.2198,46.8311,28.6,64,3,12.08,clear sky
317,Cairns,AU,-16.9167,145.7667,101.07,68,39,8.05,scattered clouds
318,Kamuli,UG,0.9472,33.1197,63.99,98,98,0.81,light rain
319,San Luis,AR,-33.295,-66.3356,64.24,37,0,6.22,clear sky
320,Abalak,RU,58.1286,68.5944,17.46,91,100,10.78,overcast clouds
321,Culiacancito,MX,24.8247,-107.5331,67.95,85,10,2.64,clear sky
322,Bonnyville,CA,54.2668,-110.735,15.6,99,54,3.78,broken clouds
323,Kieta,PG,-6.2167,155.6333,83.7,69,75,4.36,broken clouds
324,Atambua,ID,-9.1061,124.8925,85.1,64,53,4.72,broken clouds
325,Oranjemund,NA,-28.55,16.4333,61.09,89,22,4.16,few clouds
